LAST SEEN   TYPE      REASON              OBJECT                                MESSAGE
8m          Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    Created pod: sample-app-v1-67cfb7b77-5hcj6
8m          Normal    Scheduled           pod/sample-app-v1-67cfb7b77-ndvc9     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-ndvc9 to minikube
119s        Normal    ScalingReplicaSet   deployment/sample-app-v1              Scaled up replica set sample-app-v1-67cfb7b77 from 0 to 3
8m          Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    Created pod: sample-app-v1-67cfb7b77-7qt59
8m          Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    Created pod: sample-app-v1-67cfb7b77-ndvc9
8m          Normal    Scheduled           pod/sample-app-v1-67cfb7b77-5hcj6     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-5hcj6 to minikube
8m          Normal    Scheduled           pod/sample-app-v1-67cfb7b77-7qt59     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-7qt59 to minikube
7m59s       Normal    Pulling             pod/sample-app-v1-67cfb7b77-ndvc9     Pulling image "nginx:alpine"
7m59s       Normal    Pulling             pod/sample-app-v1-67cfb7b77-7qt59     Pulling image "nginx:alpine"
7m58s       Normal    Pulling             pod/sample-app-v1-67cfb7b77-5hcj6     Pulling image "nginx:alpine"
7m55s       Normal    Created             pod/sample-app-v1-67cfb7b77-5hcj6     Container created
7m55s       Normal    Pulled              pod/sample-app-v1-67cfb7b77-ndvc9     Successfully pulled image "nginx:alpine" in 3.442s (3.443s including waiting). Image size: 26335703 bytes.
7m55s       Normal    Started             pod/sample-app-v1-67cfb7b77-ndvc9     Container started
7m55s       Normal    Pulled              pod/sample-app-v1-67cfb7b77-5hcj6     Successfully pulled image "nginx:alpine" in 241ms (3.345s including waiting). Image size: 26335703 bytes.
7m55s       Normal    Pulled              pod/sample-app-v1-67cfb7b77-7qt59     Successfully pulled image "nginx:alpine" in 266ms (3.689s including waiting). Image size: 26335703 bytes.
7m55s       Normal    Created             pod/sample-app-v1-67cfb7b77-7qt59     Container created
7m55s       Normal    Created             pod/sample-app-v1-67cfb7b77-ndvc9     Container created
7m54s       Normal    Started             pod/sample-app-v1-67cfb7b77-7qt59     Container started
7m54s       Normal    Started             pod/sample-app-v1-67cfb7b77-5hcj6     Container started
7m1s        Normal    Scheduled           pod/sample-app-v2-cfcd6bf78-7krb5     Successfully assigned deployment-strategies/sample-app-v2-cfcd6bf78-7krb5 to minikube
7m1s        Normal    SuccessfulCreate    replicaset/sample-app-v2-cfcd6bf78    Created pod: sample-app-v2-cfcd6bf78-z2p97
7m1s        Normal    Scheduled           pod/sample-app-v2-cfcd6bf78-nhbfh     Successfully assigned deployment-strategies/sample-app-v2-cfcd6bf78-nhbfh to minikube
7m1s        Normal    SuccessfulCreate    replicaset/sample-app-v2-cfcd6bf78    Created pod: sample-app-v2-cfcd6bf78-7krb5
7m1s        Normal    SuccessfulCreate    replicaset/sample-app-v2-cfcd6bf78    Created pod: sample-app-v2-cfcd6bf78-nhbfh
7m1s        Normal    Scheduled           pod/sample-app-v2-cfcd6bf78-z2p97     Successfully assigned deployment-strategies/sample-app-v2-cfcd6bf78-z2p97 to minikube
7m1s        Normal    ScalingReplicaSet   deployment/sample-app-v2              Scaled up replica set sample-app-v2-cfcd6bf78 from 0 to 3
7m          Normal    Created             pod/sample-app-v2-cfcd6bf78-7krb5     Container created
7m          Normal    Created             pod/sample-app-v2-cfcd6bf78-z2p97     Container created
7m          Normal    Pulled              pod/sample-app-v2-cfcd6bf78-z2p97     Container image "nginx:alpine" already present on machine and can be accessed by the pod
7m          Normal    Pulled              pod/sample-app-v2-cfcd6bf78-nhbfh     Container image "nginx:alpine" already present on machine and can be accessed by the pod
7m          Normal    Pulled              pod/sample-app-v2-cfcd6bf78-7krb5     Container image "nginx:alpine" already present on machine and can be accessed by the pod
6m59s       Normal    Started             pod/sample-app-v2-cfcd6bf78-z2p97     Container started
6m59s       Normal    Started             pod/sample-app-v2-cfcd6bf78-nhbfh     Container started
6m59s       Normal    Created             pod/sample-app-v2-cfcd6bf78-nhbfh     Container created
6m59s       Normal    Started             pod/sample-app-v2-cfcd6bf78-7krb5     Container started
6m58s       Warning   Unhealthy           pod/sample-app-v2-cfcd6bf78-7krb5     Readiness probe failed: Get "http://10.244.0.6:80/": dial tcp 10.244.0.6:80: connect: connection refused
3m14s       Normal    Killing             pod/sample-app-v2-cfcd6bf78-nhbfh     Stopping container web-server
3m14s       Normal    SuccessfulDelete    replicaset/sample-app-v2-cfcd6bf78    Deleted pod: sample-app-v2-cfcd6bf78-nhbfh
3m14s       Normal    Killing             pod/sample-app-v2-cfcd6bf78-7krb5     Stopping container web-server
3m14s       Normal    ScalingReplicaSet   deployment/sample-app-v2              Scaled down replica set sample-app-v2-cfcd6bf78 from 3 to 0
3m14s       Normal    Killing             pod/sample-app-v2-cfcd6bf78-z2p97     Stopping container web-server
3m14s       Warning   Unhealthy           pod/sample-app-v2-cfcd6bf78-nhbfh     Readiness probe failed: Get "http://10.244.0.7:80/": dial tcp 10.244.0.7:80: connect: connection refused
3m14s       Normal    SuccessfulDelete    replicaset/sample-app-v2-cfcd6bf78    Deleted pod: sample-app-v2-cfcd6bf78-z2p97
3m14s       Normal    SuccessfulDelete    replicaset/sample-app-v2-cfcd6bf78    Deleted pod: sample-app-v2-cfcd6bf78-7krb5
3m12s       Normal    SuccessfulCreate    replicaset/sample-app-v3-74c96d599b   Created pod: sample-app-v3-74c96d599b-6nztn
3m12s       Normal    ScalingReplicaSet   deployment/sample-app-v3              Scaled up replica set sample-app-v3-74c96d599b from 0 to 1
3m12s       Normal    Pulled              pod/sample-app-v3-74c96d599b-6nztn    Container image "nginx:alpine" already present on machine and can be accessed by the pod
3m12s       Normal    Scheduled           pod/sample-app-v3-74c96d599b-6nztn    Successfully assigned deployment-strategies/sample-app-v3-74c96d599b-6nztn to minikube
3m11s       Normal    Started             pod/sample-app-v3-74c96d599b-6nztn    Container started
