2026-09-23T21:36:06Z	info	snapshot/v3_snapshot.go:305	restoring snapshot	{"path": "/opt/etcd-backup/etcd-snapshot-20260923-213334.db", "wal-dir": "/var/lib/etcd/member/wal", "data-dir": "/var/lib/etcd", "snap-dir": "/var/lib/etcd/member/snap", "initial-memory-map-size": 10737418240}
2026-09-23T21:36:06Z	info	bbolt	backend/backend.go:203	Opening db file (/var/lib/etcd/member/snap/db) with mode -rw------- and with options: {Timeout: 0s, NoGrowSync: false, NoFreelistSync: true, PreLoadFreelist: false, FreelistType: , ReadOnly: false, MmapFlags: 8000, InitialMmapSize: 10737418240, PageSize: 0, NoSync: false, OpenFile: 0x0, Mlock: false, Logger: 0xc000060068}
2026-09-23T21:36:06Z	info	bbolt	bbolt@v1.4.3/db.go:321	Opening bbolt db (/var/lib/etcd/member/snap/db) successfully
2026-09-23T21:36:06Z	info	schema/membership.go:138	Trimming membership information from the backend...
2026-09-23T21:36:06Z	info	bbolt	backend/backend.go:203	Opening db file (/var/lib/etcd/member/snap/db) with mode -rw------- and with options: {Timeout: 0s, NoGrowSync: false, NoFreelistSync: true, PreLoadFreelist: false, FreelistType: , ReadOnly: false, MmapFlags: 8000, InitialMmapSize: 10737418240, PageSize: 0, NoSync: false, OpenFile: 0x0, Mlock: false, Logger: 0xc0000601d0}
2026-09-23T21:36:06Z	info	bbolt	bbolt@v1.4.3/db.go:321	Opening bbolt db (/var/lib/etcd/member/snap/db) successfully
2026-09-23T21:36:06Z	info	snapshot/v3_snapshot.go:396	bumping latest revision	{"latest-revision": 743, "bump-amount": 1000000000, "new-latest-revision": 1000000743}
2026-09-23T21:36:06Z	info	snapshot/v3_snapshot.go:413	marking revision compacted	{"revision": 1000000743}
2026-09-23T21:36:06Z	info	bbolt	backend/backend.go:203	Opening db file (/var/lib/etcd/member/snap/db) with mode -rw------- and with options: {Timeout: 0s, NoGrowSync: false, NoFreelistSync: true, PreLoadFreelist: false, FreelistType: , ReadOnly: false, MmapFlags: 8000, InitialMmapSize: 10737418240, PageSize: 0, NoSync: false, OpenFile: 0x0, Mlock: false, Logger: 0xc0000602c0}
2026-09-23T21:36:06Z	info	bbolt	bbolt@v1.4.3/db.go:321	Opening bbolt db (/var/lib/etcd/member/snap/db) successfully
2026-09-23T21:36:06Z	info	membership/cluster.go:424	added member	{"cluster-id": "87b3f21dd6fea312", "local-member-id": "0", "added-peer-id": "42111ca4e206f66c", "added-peer-peer-urls": ["https://172.31.10.147:2380"], "added-peer-is-learner": false}
2026-09-23T21:36:06Z	info	bbolt	backend/backend.go:203	Opening db file (/var/lib/etcd/member/snap/db) with mode -rw------- and with options: {Timeout: 0s, NoGrowSync: false, NoFreelistSync: true, PreLoadFreelist: false, FreelistType: , ReadOnly: false, MmapFlags: 8000, InitialMmapSize: 10737418240, PageSize: 0, NoSync: false, OpenFile: 0x0, Mlock: false, Logger: 0xc000060ac8}
2026-09-23T21:36:06Z	info	bbolt	bbolt@v1.4.3/db.go:321	Opening bbolt db (/var/lib/etcd/member/snap/db) successfully
2026-09-23T21:36:06Z	info	snapshot/v3_snapshot.go:333	restored snapshot	{"path": "/opt/etcd-backup/etcd-snapshot-20260923-213334.db", "wal-dir": "/var/lib/etcd/member/wal", "data-dir": "/var/lib/etcd", "snap-dir": "/var/lib/etcd/member/snap", "initial-memory-map-size": 10737418240}
