Sep 23 21:35:41 ip-172-31-10-147 systemd[1]: Stopping kubelet.service - kubelet: The Kubernetes Node Agent...
Sep 23 21:35:41 ip-172-31-10-147 kubelet[8207]: I0923 21:35:41.074124    8207 volume_manager.go:316] "Shutting down Kubelet Volume Manager"
Sep 23 21:35:41 ip-172-31-10-147 kubelet[8207]: I0923 21:35:41.074166    8207 tlsconfig.go:258] "Shutting down DynamicServingCertificateController"
Sep 23 21:35:41 ip-172-31-10-147 systemd[1]: kubelet.service: Deactivated successfully.
Sep 23 21:35:41 ip-172-31-10-147 systemd[1]: Stopped kubelet.service - kubelet: The Kubernetes Node Agent.
Sep 23 21:35:41 ip-172-31-10-147 systemd[1]: kubelet.service: Consumed 8.811s CPU time.
Sep 23 21:36:06 ip-172-31-10-147 systemd[1]: Started kubelet.service - kubelet: The Kubernetes Node Agent.
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.578208   13623 server.go:545] "Kubelet version" kubeletVersion="v1.36.5"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.578305   13623 server.go:547] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.578335   13623 watchdog_linux.go:94] "Systemd watchdog is not enabled"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.578344   13623 watchdog_linux.go:137] "Systemd watchdog is not enabled or the interval is invalid, so health checking will not be started."
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.579056   13623 server.go:985] "Client rotation is on, will bootstrap in background"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.581724   13623 certificate_store.go:147] "Loading cert/key pair from a file" filePath="/var/lib/kubelet/pki/kubelet-client-current.pem"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.586496   13623 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.596598   13623 server.go:1448] "Using cgroup driver setting received from the CRI runtime" cgroupDriver="systemd"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.603341   13623 server.go:808] "--cgroups-per-qos enabled, but --cgroup-root was not specified.  Defaulting to /"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.603795   13623 container_manager_linux.go:273] "Container manager verified user specified cgroup-root exists" cgroupRoot=[]
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.603859   13623 container_manager_linux.go:278] "Creating Container Manager object based on Node Config" nodeConfig={"NodeName":"ip-172-31-10-147","RuntimeCgroupsName":"","SystemCgroupsName":"","KubeletCgroupsName":"","KubeletOOMScoreAdj":-999,"ContainerRuntime":"","CgroupsPerQOS":true,"CgroupRoot":"/","CgroupDriver":"systemd","KubeletRootDir":"/var/lib/kubelet","ProtectKernelDefaults":false,"KubeReservedCgroupName":"","SystemReservedCgroupName":"","ReservedSystemCPUs":{},"EnforceNodeAllocatable":{"pods":{}},"KubeReserved":null,"SystemReserved":null,"HardEvictionThresholds":[{"Signal":"memory.available","Operator":"LessThan","Value":{"Quantity":"100Mi","Percentage":0},"GracePeriod":0,"MinReclaim":null},{"Signal":"nodefs.available","Operator":"LessThan","Value":{"Quantity":null,"Percentage":0.1},"GracePeriod":0,"MinReclaim":null},{"Signal":"nodefs.inodesFree","Operator":"LessThan","Value":{"Quantity":null,"Percentage":0.05},"GracePeriod":0,"MinReclaim":null},{"Signal":"imagefs.available","Operator":"LessThan","Value":{"Quantity":null,"Percentage":0.15},"GracePeriod":0,"MinReclaim":null},{"Signal":"imagefs.inodesFree","Operator":"LessThan","Value":{"Quantity":null,"Percentage":0.05},"GracePeriod":0,"MinReclaim":null}],"QOSReserved":{},"CPUManagerPolicy":"none","CPUManagerPolicyOptions":null,"TopologyManagerScope":"container","CPUManagerReconcilePeriod":10000000000,"MemoryManagerPolicy":"None","MemoryManagerReservedMemory":null,"MemoryReservationPolicy":"None","PodPidsLimit":-1,"EnforceCPULimits":true,"CPUCFSQuotaPeriod":100000000,"TopologyManagerPolicy":"none","TopologyManagerPolicyOptions":null,"CgroupVersion":2}
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.604162   13623 topology_manager.go:172] "Creating topology manager with none policy"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.604178   13623 container_manager_linux.go:309] "Creating device plugin manager"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.604223   13623 container_manager_linux.go:318] "Creating Dynamic Resource Allocation (DRA) manager"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.604589   13623 state_mem.go:45] "Initialized" logger="CPUManager state memory"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.604876   13623 kubelet.go:485] "Attempting to sync node with API server"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.604895   13623 kubelet.go:386] "Adding static pod path" path="/etc/kubernetes/manifests"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.604920   13623 kubelet.go:397] "Adding apiserver pod source"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.604935   13623 apiserver.go:41] "Waiting for node sync before watching apiserver pods"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.609036   13623 kuberuntime_manager.go:308] "Container runtime initialized" containerRuntime="containerd" version="v2.2.5" apiVersion="v1"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.611823   13623 kubelet.go:1002] "Not starting ClusterTrustBundle informer because we are in static kubelet mode or the ClusterTrustBundleProjection featuregate is disabled"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.611889   13623 kubelet.go:1029] "Not starting PodCertificateRequest manager because we are in static kubelet mode or the PodCertificateProjection feature gate is disabled"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.616395   13623 server.go:1285] "Started kubelet"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.621549   13623 server.go:193] "Starting to listen" address="0.0.0.0" port=10250
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.622674   13623 fs_resource_analyzer.go:69] "Starting FS ResourceAnalyzer"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.625701   13623 server.go:354] "Adding debug handlers to kubelet server"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.631110   13623 ratelimit.go:56] "Setting rate limiting for endpoint" service="podresources" qps=100 burstTokens=10
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.632013   13623 dynamic_serving_content.go:135] "Starting controller" name="kubelet-server-cert-files::/var/lib/kubelet/pki/kubelet.crt::/var/lib/kubelet/pki/kubelet.key"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.632245   13623 tlsconfig.go:243] "Starting DynamicServingCertificateController"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.635536   13623 server_v1.go:49] "podresources" method="list" useActivePods=true
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.645613   13623 volume_manager.go:310] "Starting Kubelet Volume Manager"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.646033   13623 kubelet_node_status.go:396] "Error getting the current node from lister" err="node \"ip-172-31-10-147\" not found"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.646453   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.649153   13623 desired_state_of_world_populator.go:146] "Desired state populator starts to run"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.649450   13623 server.go:264] "Starting to serve the podresources API" endpoint="unix:/var/lib/kubelet/pod-resources/kubelet.sock"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.660008   13623 reconciler.go:29] "Reconciler: start to sync state"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.671198   13623 factory.go:222] Registration of the systemd container factory successfully
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.671822   13623 factory.go:220] Registration of the crio container factory failed: Get "http://%2Fvar%2Frun%2Fcrio%2Fcrio.sock/info": dial unix /var/run/crio/crio.sock: connect: no such file or directory
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.697009   13623 factory.go:222] Registration of the containerd container factory successfully
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.714872   13623 kubelet_network_linux.go:53] "Initialized iptables rules." protocol="IPv4"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.717811   13623 kubelet_network_linux.go:53] "Initialized iptables rules." protocol="IPv6"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.718127   13623 status_manager.go:277] "Starting to sync pod status with apiserver"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.718280   13623 kubelet.go:2622] "Starting kubelet main sync loop"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.718787   13623 kubelet.go:2646] "Skipping pod synchronization" err="[container runtime status check may not have completed yet, PLEG is not healthy: pleg has yet to be successful]"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.748186   13623 kubelet_node_status.go:396] "Error getting the current node from lister" err="node \"ip-172-31-10-147\" not found"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.748771   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.819227   13623 kubelet.go:2646] "Skipping pod synchronization" err="container runtime status check may not have completed yet"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.846542   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.848254   13623 kubelet_node_status.go:396] "Error getting the current node from lister" err="node \"ip-172-31-10-147\" not found"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.893946   13623 cpu_manager.go:235] "Starting" policy="none"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.893970   13623 cpu_manager.go:236] "Reconciling" reconcilePeriod="10s"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.894010   13623 state_mem.go:45] "Initialized" logger="CPUManager state checkpoint.CPUManager state memory"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895063   13623 state_mem.go:123] "Updated default CPUSet" logger="CPUManager state checkpoint.CPUManager state memory" cpuSet=""
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895162   13623 state_mem.go:141] "Updated CPUSet assignments" logger="CPUManager state checkpoint.CPUManager state memory" assignments={}
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895196   13623 policy_none.go:50] "Start"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895416   13623 memory_manager.go:190] "Starting memorymanager" policy="None"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895444   13623 state_mem.go:40] "Initializing new in-memory state store" logger="Memory Manager state checkpoint"
