LAST SEEN   TYPE      REASON                    OBJECT                                               MESSAGE
5m5s        Normal    NodeHasNoDiskPressure     node/ip-172-31-10-114                                Node ip-172-31-10-114 status is now: NodeHasNoDiskPressure
5m5s        Normal    NodeHasSufficientMemory   node/ip-172-31-10-114                                Node ip-172-31-10-114 status is now: NodeHasSufficientMemory
5m5s        Normal    NodeHasSufficientPID      node/ip-172-31-10-114                                Node ip-172-31-10-114 status is now: NodeHasSufficientPID
5m5s        Normal    NodeAllocatableEnforced   node/ip-172-31-10-114                                Updated Node Allocatable limit across pods
4m50s       Normal    Starting                  node/ip-172-31-10-114                                Starting kubelet.
4m50s       Normal    NodeHasNoDiskPressure     node/ip-172-31-10-114                                Node ip-172-31-10-114 status is now: NodeHasNoDiskPressure
4m50s       Normal    NodeHasSufficientMemory   node/ip-172-31-10-114                                Node ip-172-31-10-114 status is now: NodeHasSufficientMemory
4m50s       Normal    NodeAllocatableEnforced   node/ip-172-31-10-114                                Updated Node Allocatable limit across pods
4m50s       Warning   InvalidDiskCapacity       node/ip-172-31-10-114                                invalid capacity 0 on image filesystem
4m50s       Normal    NodeHasSufficientPID      node/ip-172-31-10-114                                Node ip-172-31-10-114 status is now: NodeHasSufficientPID
4m46s       Normal    RegisteredNode            node/ip-172-31-10-114                                Node ip-172-31-10-114 event: Registered Node ip-172-31-10-114 in Controller
4m42s       Normal    Starting                  node/ip-172-31-10-114                                
4m39s       Normal    NodeReady                 node/ip-172-31-10-114                                Node ip-172-31-10-114 status is now: NodeReady
3m42s       Normal    Pulling                   pod/observability-bootstrap-test-764fd685b5-vzlsq    Pulling image "nginx:1.27"
3m42s       Normal    SuccessfulCreate          replicaset/observability-bootstrap-test-764fd685b5   Created pod: observability-bootstrap-test-764fd685b5-vzlsq
3m42s       Normal    Scheduled                 pod/observability-bootstrap-test-764fd685b5-vzlsq    Successfully assigned default/observability-bootstrap-test-764fd685b5-vzlsq to ip-172-31-10-114
3m42s       Normal    ScalingReplicaSet         deployment/observability-bootstrap-test              Scaled up replica set observability-bootstrap-test-764fd685b5 from 0 to 1
3m36s       Normal    Pulled                    pod/observability-bootstrap-test-764fd685b5-vzlsq    Successfully pulled image "nginx:1.27" in 5.833s (5.833s including waiting). Image size: 72406859 bytes.
3m36s       Normal    Created                   pod/observability-bootstrap-test-764fd685b5-vzlsq    Container created
3m35s       Normal    Started                   pod/observability-bootstrap-test-764fd685b5-vzlsq    Container started
3m15s       Normal    Killing                   pod/observability-bootstrap-test-764fd685b5-vzlsq    Stopping container nginx
2m56s       Normal    Scheduled                 pod/webapp-with-probes-6cc76bb77-2z2tk               Successfully assigned default/webapp-with-probes-6cc76bb77-2z2tk to ip-172-31-10-114
2m56s       Normal    Scheduled                 pod/webapp-with-probes-6cc76bb77-jv22b               Successfully assigned default/webapp-with-probes-6cc76bb77-jv22b to ip-172-31-10-114
2m56s       Normal    SuccessfulCreate          replicaset/webapp-with-probes-6cc76bb77              Created pod: webapp-with-probes-6cc76bb77-2z2tk
2m56s       Normal    SuccessfulCreate          replicaset/webapp-with-probes-6cc76bb77              Created pod: webapp-with-probes-6cc76bb77-jv22b
2m56s       Normal    ScalingReplicaSet         deployment/webapp-with-probes                        Scaled up replica set webapp-with-probes-6cc76bb77 from 0 to 2
2m55s       Normal    Pulled                    pod/webapp-with-probes-6cc76bb77-2z2tk               Container image "nginx:1.27" already present on machine and can be accessed by the pod
2m55s       Normal    Created                   pod/webapp-with-probes-6cc76bb77-2z2tk               Container created
