NAME                                                                    ROLE                                                                                AGE
cluster-admin                                                           ClusterRole/cluster-admin                                                           3m59s
kindnet                                                                 ClusterRole/kindnet                                                                 3m55s
kubeadm:apiserver-kubelet-client                                        ClusterRole/system:kubelet-api-admin                                                3m57s
kubeadm:cluster-admins                                                  ClusterRole/cluster-admin                                                           4m2s
kubeadm:get-nodes                                                       ClusterRole/kubeadm:get-nodes                                                       3m57s
kubeadm:kubelet-bootstrap                                               ClusterRole/system:node-bootstrapper                                                3m57s
kubeadm:node-autoapprove-bootstrap                                      ClusterRole/system:certificates.k8s.io:certificatesigningrequests:nodeclient        3m57s
kubeadm:node-autoapprove-certificate-rotation                           ClusterRole/system:certificates.k8s.io:certificatesigningrequests:selfnodeclient    3m57s
kubeadm:node-proxier                                                    ClusterRole/system:node-proxier                                                     3m56s
minikube-rbac                                                           ClusterRole/cluster-admin                                                           3m54s
storage-provisioner                                                     ClusterRole/system:persistent-volume-provisioner                                    3m51s
system:basic-user                                                       ClusterRole/system:basic-user                                                       3m59s
system:cluster-trust-bundle-discovery                                   ClusterRole/system:cluster-trust-bundle-discovery                                   3m59s
system:controller:attachdetach-controller                               ClusterRole/system:controller:attachdetach-controller                               3m59s
system:controller:certificate-controller                                ClusterRole/system:controller:certificate-controller                                3m58s
system:controller:clusterrole-aggregation-controller                    ClusterRole/system:controller:clusterrole-aggregation-controller                    3m59s
system:controller:cronjob-controller                                    ClusterRole/system:controller:cronjob-controller                                    3m59s
system:controller:daemon-set-controller                                 ClusterRole/system:controller:daemon-set-controller                                 3m59s
system:controller:deployment-controller                                 ClusterRole/system:controller:deployment-controller                                 3m59s
system:controller:device-taint-eviction-controller                      ClusterRole/system:controller:device-taint-eviction-controller                      3m59s
system:controller:disruption-controller                                 ClusterRole/system:controller:disruption-controller                                 3m59s
system:controller:endpoint-controller                                   ClusterRole/system:controller:endpoint-controller                                   3m59s
system:controller:endpointslice-controller                              ClusterRole/system:controller:endpointslice-controller                              3m59s
system:controller:endpointslicemirroring-controller                     ClusterRole/system:controller:endpointslicemirroring-controller                     3m59s
system:controller:ephemeral-volume-controller                           ClusterRole/system:controller:ephemeral-volume-controller                           3m59s
system:controller:expand-controller                                     ClusterRole/system:controller:expand-controller                                     3m59s
system:controller:generic-garbage-collector                             ClusterRole/system:controller:generic-garbage-collector                             3m59s
system:controller:horizontal-pod-autoscaler                             ClusterRole/system:controller:horizontal-pod-autoscaler                             3m59s
system:controller:job-controller                                        ClusterRole/system:controller:job-controller                                        3m59s
system:controller:kube-apiserver-serving-clustertrustbundle-publisher   ClusterRole/system:controller:kube-apiserver-serving-clustertrustbundle-publisher   3m58s
system:controller:legacy-service-account-token-cleaner                  ClusterRole/system:controller:legacy-service-account-token-cleaner                  3m58s
system:controller:namespace-controller                                  ClusterRole/system:controller:namespace-controller                                  3m59s
system:controller:node-controller                                       ClusterRole/system:controller:node-controller                                       3m59s
system:controller:persistent-volume-binder                              ClusterRole/system:controller:persistent-volume-binder                              3m59s
system:controller:pod-garbage-collector                                 ClusterRole/system:controller:pod-garbage-collector                                 3m58s
system:controller:podcertificaterequestcleaner                          ClusterRole/system:controller:podcertificaterequestcleaner                          3m58s
system:controller:pv-protection-controller                              ClusterRole/system:controller:pv-protection-controller                              3m58s
system:controller:pvc-protection-controller                             ClusterRole/system:controller:pvc-protection-controller                             3m58s
system:controller:replicaset-controller                                 ClusterRole/system:controller:replicaset-controller                                 3m58s
system:controller:replication-controller                                ClusterRole/system:controller:replication-controller                                3m58s
system:controller:resource-claim-controller                             ClusterRole/system:controller:resource-claim-controller                             3m59s
system:controller:resourcequota-controller                              ClusterRole/system:controller:resourcequota-controller                              3m58s
system:controller:root-ca-cert-publisher                                ClusterRole/system:controller:root-ca-cert-publisher                                3m58s
system:controller:route-controller                                      ClusterRole/system:controller:route-controller                                      3m58s
system:controller:selinux-warning-controller                            ClusterRole/system:controller:selinux-warning-controller                            3m58s
system:controller:service-account-controller                            ClusterRole/system:controller:service-account-controller                            3m58s
system:controller:service-cidrs-controller                              ClusterRole/system:controller:service-cidrs-controller                              3m58s
system:controller:service-controller                                    ClusterRole/system:controller:service-controller                                    3m58s
system:controller:statefulset-controller                                ClusterRole/system:controller:statefulset-controller                                3m58s
system:controller:storage-version-migrator-controller                   ClusterRole/system:controller:storage-version-migrator-controller                   3m58s
system:controller:ttl-after-finished-controller                         ClusterRole/system:controller:ttl-after-finished-controller                         3m58s
system:controller:ttl-controller                                        ClusterRole/system:controller:ttl-controller                                        3m58s
system:controller:validatingadmissionpolicy-status-controller           ClusterRole/system:controller:validatingadmissionpolicy-status-controller           3m58s
system:controller:volumeattributesclass-protection-controller           ClusterRole/system:controller:volumeattributesclass-protection-controller           3m58s
system:coredns                                                          ClusterRole/system:coredns                                                          3m56s
system:discovery                                                        ClusterRole/system:discovery                                                        3m59s
system:kube-controller-manager                                          ClusterRole/system:kube-controller-manager                                          3m59s
system:kube-dns                                                         ClusterRole/system:kube-dns                                                         3m59s
system:kube-scheduler                                                   ClusterRole/system:kube-scheduler                                                   3m59s
system:monitoring                                                       ClusterRole/system:monitoring                                                       3m59s
system:node                                                             ClusterRole/system:node                                                             3m59s
system:node-proxier                                                     ClusterRole/system:node-proxier                                                     3m59s
system:public-info-viewer                                               ClusterRole/system:public-info-viewer                                               3m59s
system:service-account-issuer-discovery                                 ClusterRole/system:service-account-issuer-discovery                                 3m59s
system:volume-scheduler                                                 ClusterRole/system:volume-scheduler                                                 3m59s
