NAME                                                                    CREATED AT
admin                                                                   2026-09-14T16:51:45Z
cluster-admin                                                           2026-09-14T16:51:45Z
edit                                                                    2026-09-14T16:51:45Z
kindnet                                                                 2026-09-14T16:51:51Z
kubeadm:get-nodes                                                       2026-09-14T16:51:49Z
system:aggregate-to-admin                                               2026-09-14T16:51:45Z
system:aggregate-to-edit                                                2026-09-14T16:51:45Z
system:aggregate-to-view                                                2026-09-14T16:51:45Z
system:auth-delegator                                                   2026-09-14T16:51:46Z
system:basic-user                                                       2026-09-14T16:51:45Z
system:certificates.k8s.io:certificatesigningrequests:nodeclient        2026-09-14T16:51:46Z
system:certificates.k8s.io:certificatesigningrequests:selfnodeclient    2026-09-14T16:51:46Z
system:certificates.k8s.io:kube-apiserver-client-approver               2026-09-14T16:51:46Z
system:certificates.k8s.io:kube-apiserver-client-kubelet-approver       2026-09-14T16:51:46Z
system:certificates.k8s.io:kubelet-serving-approver                     2026-09-14T16:51:46Z
system:certificates.k8s.io:legacy-unknown-approver                      2026-09-14T16:51:46Z
system:cluster-trust-bundle-discovery                                   2026-09-14T16:51:46Z
system:controller:attachdetach-controller                               2026-09-14T16:51:46Z
system:controller:certificate-controller                                2026-09-14T16:51:47Z
system:controller:clusterrole-aggregation-controller                    2026-09-14T16:51:46Z
system:controller:cronjob-controller                                    2026-09-14T16:51:46Z
system:controller:daemon-set-controller                                 2026-09-14T16:51:46Z
system:controller:deployment-controller                                 2026-09-14T16:51:46Z
system:controller:device-taint-eviction-controller                      2026-09-14T16:51:46Z
system:controller:disruption-controller                                 2026-09-14T16:51:46Z
system:controller:endpoint-controller                                   2026-09-14T16:51:46Z
system:controller:endpointslice-controller                              2026-09-14T16:51:46Z
system:controller:endpointslicemirroring-controller                     2026-09-14T16:51:46Z
system:controller:ephemeral-volume-controller                           2026-09-14T16:51:46Z
system:controller:expand-controller                                     2026-09-14T16:51:46Z
system:controller:generic-garbage-collector                             2026-09-14T16:51:46Z
system:controller:horizontal-pod-autoscaler                             2026-09-14T16:51:46Z
system:controller:job-controller                                        2026-09-14T16:51:46Z
system:controller:kube-apiserver-serving-clustertrustbundle-publisher   2026-09-14T16:51:47Z
system:controller:legacy-service-account-token-cleaner                  2026-09-14T16:51:47Z
system:controller:namespace-controller                                  2026-09-14T16:51:46Z
system:controller:node-controller                                       2026-09-14T16:51:47Z
system:controller:persistent-volume-binder                              2026-09-14T16:51:47Z
system:controller:pod-garbage-collector                                 2026-09-14T16:51:47Z
system:controller:podcertificaterequestcleaner                          2026-09-14T16:51:47Z
system:controller:pv-protection-controller                              2026-09-14T16:51:47Z
system:controller:pvc-protection-controller                             2026-09-14T16:51:47Z
system:controller:replicaset-controller                                 2026-09-14T16:51:47Z
system:controller:replication-controller                                2026-09-14T16:51:47Z
system:controller:resource-claim-controller                             2026-09-14T16:51:46Z
system:controller:resourcequota-controller                              2026-09-14T16:51:47Z
system:controller:root-ca-cert-publisher                                2026-09-14T16:51:47Z
system:controller:route-controller                                      2026-09-14T16:51:47Z
system:controller:selinux-warning-controller                            2026-09-14T16:51:47Z
system:controller:service-account-controller                            2026-09-14T16:51:47Z
system:controller:service-cidrs-controller                              2026-09-14T16:51:47Z
system:controller:service-controller                                    2026-09-14T16:51:47Z
system:controller:statefulset-controller                                2026-09-14T16:51:47Z
system:controller:storage-version-migrator-controller                   2026-09-14T16:51:47Z
system:controller:ttl-after-finished-controller                         2026-09-14T16:51:47Z
system:controller:ttl-controller                                        2026-09-14T16:51:47Z
system:controller:validatingadmissionpolicy-status-controller           2026-09-14T16:51:47Z
system:controller:volumeattributesclass-protection-controller           2026-09-14T16:51:47Z
system:coredns                                                          2026-09-14T16:51:50Z
system:discovery                                                        2026-09-14T16:51:45Z
system:heapster                                                         2026-09-14T16:51:46Z
system:kube-aggregator                                                  2026-09-14T16:51:46Z
system:kube-controller-manager                                          2026-09-14T16:51:46Z
system:kube-dns                                                         2026-09-14T16:51:46Z
system:kube-scheduler                                                   2026-09-14T16:51:46Z
system:kubelet-api-admin                                                2026-09-14T16:51:46Z
system:monitoring                                                       2026-09-14T16:51:45Z
system:node                                                             2026-09-14T16:51:46Z
system:node-bootstrapper                                                2026-09-14T16:51:46Z
system:node-problem-detector                                            2026-09-14T16:51:46Z
system:node-proxier                                                     2026-09-14T16:51:46Z
system:persistent-volume-provisioner                                    2026-09-14T16:51:46Z
system:public-info-viewer                                               2026-09-14T16:51:45Z
system:service-account-issuer-discovery                                 2026-09-14T16:51:46Z
system:volume-scheduler                                                 2026-09-14T16:51:46Z
view                                                                    2026-09-14T16:51:45Z
