NAME                                                  AGE
attachdetach-controller                               3m57s
bootstrap-signer                                      3m53s
certificate-controller                                3m57s
clusterrole-aggregation-controller                    3m56s
coredns                                               3m56s
cronjob-controller                                    3m54s
daemon-set-controller                                 3m55s
default                                               3m49s
deployment-controller                                 3m57s
device-taint-eviction-controller                      3m51s
disruption-controller                                 3m51s
endpoint-controller                                   3m56s
endpointslice-controller                              3m57s
endpointslicemirroring-controller                     3m54s
ephemeral-volume-controller                           3m57s
expand-controller                                     3m53s
generic-garbage-collector                             3m55s
horizontal-pod-autoscaler                             3m56s
job-controller                                        3m57s
kindnet                                               3m55s
kube-apiserver-serving-clustertrustbundle-publisher   3m56s
kube-proxy                                            3m56s
legacy-service-account-token-cleaner                  3m55s
namespace-controller                                  3m52s
node-controller                                       3m55s
persistent-volume-binder                              3m51s
pod-garbage-collector                                 3m57s
podcertificaterequestcleaner                          3m55s
pv-protection-controller                              3m57s
pvc-protection-controller                             3m56s
replicaset-controller                                 3m51s
replication-controller                                3m53s
resource-claim-controller                             3m57s
resourcequota-controller                              3m54s
root-ca-cert-publisher                                3m57s
service-account-controller                            3m56s
service-cidrs-controller                              3m57s
statefulset-controller                                3m54s
storage-provisioner                                   3m51s
storage-version-migrator-controller                   3m57s
token-cleaner                                         3m53s
ttl-after-finished-controller                         3m55s
ttl-controller                                        3m57s
validatingadmissionpolicy-status-controller           3m57s
volumeattributesclass-protection-controller           3m53s
