I0914 16:51:41.085578       1 serving.go:411] Generated self-signed cert in-memory
W0914 16:51:44.452158       1 requestheader_controller.go:204] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
W0914 16:51:44.457770       1 authentication.go:397] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
W0914 16:51:44.458143       1 authentication.go:398] Continuing without authentication configuration. This may treat all requests as anonymous.
W0914 16:51:44.458390       1 authentication.go:399] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
E0914 16:51:44.525409       1 options.go:205] The manifest file is empty, ignoring.
I0914 16:51:44.840193       1 server.go:187] "Starting Kubernetes Scheduler" version="v1.37.0"
I0914 16:51:44.840246       1 server.go:189] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
I0914 16:51:44.944854       1 secure_serving.go:214] Serving securely on 127.0.0.1:10259
I0914 16:51:44.952290       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
I0914 16:51:44.953223       1 shared_informer.go:524] "Waiting for caches to sync"
I0914 16:51:44.957956       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
E0914 16:51:45.166272       1 reflector.go:227] "Failed to watch" err="failed to list *v1.StorageClass: storageclasses.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"storageclasses\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.StorageClass"
E0914 16:51:45.167863       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ConfigMap: configmaps \"extension-apiserver-authentication\" is forbidden: User \"system:kube-scheduler\" cannot list resource \"configmaps\" in API group \"\" in the namespace \"kube-system\"" logger="UnhandledError" reflector="runtime/asm_amd64.s:1771" type="*v1.ConfigMap"
E0914 16:51:45.237394       1 reflector.go:227] "Failed to watch" err="failed to list *v1.DeviceClass: deviceclasses.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"deviceclasses\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.DeviceClass"
E0914 16:51:45.237541       1 reflector.go:227] "Failed to watch" err="failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"csinodes\" in API group \"storage.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.CSINode"
