LAST SEEN   TYPE      REASON                           OBJECT                                   MESSAGE
8s          Normal    Scheduled                        pod/final-test-5475545d4f-p2hnm          Successfully assigned default/final-test-5475545d4f-p2hnm to ip-172-31-10-244
93s         Normal    Scheduled                        pod/debug-app-68b77f5fc7-sg5dj           Successfully assigned default/debug-app-68b77f5fc7-sg5dj to ip-172-31-10-244
64s         Normal    Scheduled                        pod/logging-app-5d579c986d-9gffb         Successfully assigned default/logging-app-5d579c986d-9gffb to ip-172-31-10-244
6m46s       Normal    Scheduled                        pod/readiness-app-75cb7cf7dc-87gvd       Successfully assigned default/readiness-app-75cb7cf7dc-87gvd to ip-172-31-10-244
4m52s       Normal    Scheduled                        pod/python-probe-app-5d954db8d4-988wm    Successfully assigned default/python-probe-app-5d954db8d4-988wm to ip-172-31-10-244
7m41s       Normal    Starting                         node/ip-172-31-10-244                    
17s         Normal    Scheduled                        pod/optimized-app-d498587c5-5lwxf        Successfully assigned default/optimized-app-d498587c5-5lwxf to ip-172-31-10-244
6m46s       Normal    Scheduled                        pod/readiness-app-75cb7cf7dc-tqvjg       Successfully assigned default/readiness-app-75cb7cf7dc-tqvjg to ip-172-31-10-244
119s        Normal    Scheduled                        pod/debug-app-658d77b6b9-dwwb6           Successfully assigned default/debug-app-658d77b6b9-dwwb6 to ip-172-31-10-244
5m45s       Normal    Scheduled                        pod/probe-demo-app-866d9fcbfc-kj95g      Successfully assigned default/probe-demo-app-866d9fcbfc-kj95g to ip-172-31-10-244
17s         Normal    Scheduled                        pod/optimized-app-d498587c5-tmjgm        Successfully assigned default/optimized-app-d498587c5-tmjgm to ip-172-31-10-244
7m44s       Normal    CertificateExpirationOK          node/ip-172-31-10-244                    Node and Certificate Authority certificates managed by k3s are OK
7m44s       Normal    Starting                         node/ip-172-31-10-244                    Starting kubelet.
7m44s       Warning   InvalidDiskCapacity              node/ip-172-31-10-244                    invalid capacity 0 on image filesystem
7m42s       Normal    NodeHasNoDiskPressure            node/ip-172-31-10-244                    Node ip-172-31-10-244 status is now: NodeHasNoDiskPressure
7m42s       Normal    NodeHasSufficientMemory          node/ip-172-31-10-244                    Node ip-172-31-10-244 status is now: NodeHasSufficientMemory
7m42s       Normal    NodeAllocatableEnforced          node/ip-172-31-10-244                    Updated Node Allocatable limit across pods
7m42s       Normal    NodeHasSufficientPID             node/ip-172-31-10-244                    Node ip-172-31-10-244 status is now: NodeHasSufficientPID
7m41s       Normal    NodeReady                        node/ip-172-31-10-244                    Node ip-172-31-10-244 status is now: NodeReady
7m38s       Normal    NodePasswordValidationComplete   node/ip-172-31-10-244                    Deferred node password secret validation complete
7m37s       Normal    RegisteredNode                   node/ip-172-31-10-244                    Node ip-172-31-10-244 event: Registered Node ip-172-31-10-244 in Controller
7m36s       Normal    Synced                           node/ip-172-31-10-244                    Node synced successfully
6m46s       Normal    ScalingReplicaSet                deployment/readiness-app                 Scaled up replica set readiness-app-75cb7cf7dc from 0 to 2
6m46s       Normal    SuccessfulCreate                 replicaset/readiness-app-75cb7cf7dc      Created pod: readiness-app-75cb7cf7dc-87gvd
6m46s       Normal    SuccessfulCreate                 replicaset/readiness-app-75cb7cf7dc      Created pod: readiness-app-75cb7cf7dc-tqvjg
6m44s       Normal    Pulling                          pod/readiness-app-75cb7cf7dc-87gvd       Pulling image "nginx:1.29-alpine"
6m44s       Normal    Pulling                          pod/readiness-app-75cb7cf7dc-tqvjg       Pulling image "nginx:1.29-alpine"
6m41s       Normal    Created                          pod/readiness-app-75cb7cf7dc-tqvjg       Container created
6m41s       Normal    Pulled                           pod/readiness-app-75cb7cf7dc-87gvd       Successfully pulled image "nginx:1.29-alpine" in 3.228s (3.228s including waiting). Image size: 26013346 bytes.
6m41s       Normal    Pulled                           pod/readiness-app-75cb7cf7dc-tqvjg       Successfully pulled image "nginx:1.29-alpine" in 3.319s (3.319s including waiting). Image size: 26013346 bytes.
6m40s       Normal    Started                          pod/readiness-app-75cb7cf7dc-87gvd       Container started
6m40s       Normal    Created                          pod/readiness-app-75cb7cf7dc-87gvd       Container created
6m40s       Normal    Started                          pod/readiness-app-75cb7cf7dc-tqvjg       Container started
6m23s       Warning   Unhealthy                        pod/readiness-app-75cb7cf7dc-87gvd       Readiness probe failed: HTTP probe failed with statuscode: 503
5m45s       Normal    ScalingReplicaSet                deployment/probe-demo-app                Scaled up replica set probe-demo-app-866d9fcbfc from 0 to 1
5m45s       Normal    SuccessfulCreate                 replicaset/probe-demo-app-866d9fcbfc     Created pod: probe-demo-app-866d9fcbfc-kj95g
5m31s       Warning   Unhealthy                        pod/probe-demo-app-866d9fcbfc-kj95g      Readiness probe failed: HTTP probe failed with statuscode: 503
5m15s       Normal    Killing                          pod/probe-demo-app-866d9fcbfc-kj95g      Container web-app failed liveness probe, will be restarted
5m15s       Normal    Pulled                           pod/probe-demo-app-866d9fcbfc-kj95g      Container image "nginx:1.29-alpine" already present on machine and can be accessed by the pod
5m15s       Warning   Unhealthy                        pod/probe-demo-app-866d9fcbfc-kj95g      Liveness probe failed: HTTP probe failed with statuscode: 500
5m15s       Normal    Created                          pod/probe-demo-app-866d9fcbfc-kj95g      Container created
5m14s       Normal    Started                          pod/probe-demo-app-866d9fcbfc-kj95g      Container started
5m14s       Warning   Unhealthy                        pod/probe-demo-app-866d9fcbfc-kj95g      Readiness probe failed: Get "http://10.42.0.7:8080/ready": dial tcp 10.42.0.7:8080: connect: connection refused
4m53s       Normal    ScalingReplicaSet                deployment/python-probe-app              Scaled up replica set python-probe-app-5d954db8d4 from 0 to 1
4m52s       Normal    SuccessfulCreate                 replicaset/python-probe-app-5d954db8d4   Created pod: python-probe-app-5d954db8d4-988wm
4m52s       Normal    Pulling                          pod/python-probe-app-5d954db8d4-988wm    Pulling image "python:3.13-slim"
4m48s       Normal    Pulled                           pod/python-probe-app-5d954db8d4-988wm    Successfully pulled image "python:3.13-slim" in 3.352s (3.352s including waiting). Image size: 43050487 bytes.
4m34s       Warning   Unhealthy                        pod/python-probe-app-5d954db8d4-988wm    Readiness probe failed: HTTP probe failed with statuscode: 503
4m22s       Warning   Unhealthy                        pod/python-probe-app-5d954db8d4-988wm    Liveness probe failed: HTTP probe failed with statuscode: 500
