NAMESPACE            NAME                                                      PHASE     NODE
default              no-toleration-test                                        Pending   <none>
local-path-storage   local-path-provisioner-855c7b7774-jlv5n                   Running   scheduling-policy-control-plane
default              cache-app-66ff669c9d-mmnwd                                Running   scheduling-policy-control-plane
kube-system          kube-scheduler-scheduling-policy-control-plane            Running   scheduling-policy-control-plane
kube-system          kube-proxy-hg2ll                                          Running   scheduling-policy-control-plane
kube-system          kube-controller-manager-scheduling-policy-control-plane   Running   scheduling-policy-control-plane
kube-system          kube-apiserver-scheduling-policy-control-plane            Running   scheduling-policy-control-plane
kube-system          kindnet-qpkw5                                             Running   scheduling-policy-control-plane
kube-system          etcd-scheduling-policy-control-plane                      Running   scheduling-policy-control-plane
kube-system          coredns-589f44dc88-szgjk                                  Running   scheduling-policy-control-plane
kube-system          coredns-589f44dc88-ndgs7                                  Running   scheduling-policy-control-plane
default              database-tolerant-6f59f85487-x7vbb                        Running   scheduling-policy-worker
default              cache-app-66ff669c9d-dxnf8                                Running   scheduling-policy-worker
default              complex-app-7dc55f7499-7lhzw                              Running   scheduling-policy-worker
kube-system          kube-proxy-kt8f5                                          Running   scheduling-policy-worker
default              frontend-app-6c699c955c-qfvkj                             Running   scheduling-policy-worker
default              frontend-app-6c699c955c-jh6jp                             Running   scheduling-policy-worker
default              database-tolerant-6f59f85487-ztw87                        Running   scheduling-policy-worker
default              complex-app-7dc55f7499-cj4kc                              Running   scheduling-policy-worker
kube-system          kindnet-p5nm2                                             Running   scheduling-policy-worker
default              web-app-759f45b87c-smtks                                  Running   scheduling-policy-worker
default              database-app-68f45b8c5d-srnvh                             Running   scheduling-policy-worker
default              database-app-68f45b8c5d-f4sgq                             Running   scheduling-policy-worker
kube-system          kindnet-mvd8m                                             Running   scheduling-policy-worker2
default              web-app-759f45b87c-xjqc4                                  Running   scheduling-policy-worker2
kube-system          kube-proxy-tnwhr                                          Running   scheduling-policy-worker2
default              web-app-759f45b87c-t9wd5                                  Running   scheduling-policy-worker2
default              cache-app-66ff669c9d-ftlkh                                Running   scheduling-policy-worker2
